,x,y,z
1,492214.098,3968523.21,1301.869
2,492213.485,3968523.568,1301.882
3,492236.005,3968590.268,1304.317
3,492189.902,3968498.882,1299.675
4,492189.847,3968499.1,1299.654
4,492236.013,3968590.25,1304.325
5,492256.297,3968586.547,1305.184
5,492192.078,3968498.936,1299.607
6,492258.298,3968602.418,1305.568
6,492192.573,3968498.581,1299.175
7,492243.82,3968604.655,1305.154
7,492193.423,3968505.401,1301.303
8,492198.539,3968502.114,1303.053
8,492215.582,3968612.274,1304.986
9,492202.385,3968500.706,1302.001
9,492197.083,3968611.948,1304.764
10,492194.285,3968572.185,1302.563
10,492209.175,3968499.551,1301.373
11,492210.05,3968502.761,1301.622
11,492193.265,3968553.24,1301.948
12,492200.793,3968514.063,1301.57
13,492209.125,3968502.295,1301.586
14,492209.109,3968502.269,1301.579
15,492217.268,3968501.899,1301.738
3136,492213.615,3968520.636,1301.928
3137,492213.247,3968519.931,1301.877
3138,492212.204,3968518.887,1301.845
3139,492211.372,3968518.033,1301.805
3140,492214.241,3968520.886,1301.858
3141,492212.73,3968519.238,1301.878
3142,492209.579,3968514.151,1301.757
3143,492208.135,3968512.115,1301.745
3144,492207.892,3968511.713,1301.691
3145,492210.438,3968512.152,1301.763
3146,492211.205,3968512.273,1301.785
3147,492213.332,3968512.547,1301.795
3148,492215.683,3968512.741,1301.831
3149,492218.072,3968512.951,1301.883
3150,492220.909,3968513.154,1301.921
3151,492223.071,3968513.486,1301.985
3152,492223.323,3968513.589,1301.948
3153,492221.553,3968517.687,1301.978
3154,492220.465,3968520.146,1302.025
3155,492220.307,3968522.436,1302.041
3156,492182.077,3968557.55,1301.803
3157,492180.006,3968557.887,1301.847
3158,492177.57,3968558.381,1301.786
3159,492174.892,3968559.129,1301.726
3160,492172.485,3968559.667,1301.715
3161,492169.957,3968560.418,1301.631
3162,492167.374,3968560.913,1301.647
3163,492165.326,3968561.19,1301.533
3164,492162.532,3968561.819,1301.57
3165,492160.53,3968562.192,1301.546
3166,492158.549,3968562.677,1301.535
3167,492156.537,3968563.093,1301.541
3168,492154.476,3968563.494,1301.483
3169,492152.351,3968563.861,1301.461
3170,492149.307,3968564.3,1301.384
3171,492147.209,3968564.643,1301.265
3172,492145.225,3968565.099,1301.256
3173,492143.07,3968565.48,1301.167
3174,492139.975,3968566.076,1301.012
3175,492137.233,3968566.549,1300.888
3176,492134.517,3968567.188,1300.745
3177,492131.644,3968567.721,1300.552
3178,492129.641,3968568.019,1300.508
3179,492127.484,3968568.406,1300.448
3180,492125.4,3968568.891,1300.426
3181,492123.284,3968569.317,1300.415
3182,492121.173,3968569.816,1300.407
3183,492119.242,3968570.512,1300.446
3184,492116.461,3968571.374,1300.451
3185,492114.329,3968572.178,1300.456
3186,492112.241,3968572.942,1300.412
3187,492109.486,3968573.941,1300.362
3188,492106.727,3968574.671,1300.414
3189,492104.449,3968575.234,1300.388
3190,492102.501,3968575.833,1300.348
3191,492100.5,3968576.482,1300.396
3192,492097.631,3968577.472,1300.394
3193,492095.746,3968578.17,1300.432
3194,492093.687,3968578.793,1300.398
3195,492091.76,3968579.414,1300.34
3196,492089.779,3968580.085,1300.225
3197,492087.76,3968580.774,1300.23
3198,492085.763,3968581.517,1300.155
3199,492083.786,3968582.252,1300.183
3200,492081.81,3968582.957,1300.163
3201,492079.711,3968583.793,1300.159
3202,492077.567,3968584.642,1300.152
3203,492075.607,3968585.485,1300.196
3204,492073.713,3968586.364,1300.166
3205,492071.545,3968587.248,1300.196
3206,492069.427,3968588.093,1300.144
3207,492067.263,3968588.734,1300.135
3208,492064.54,3968589.394,1300.108
3209,492062.425,3968589.892,1300.092
3210,492060.369,3968590.638,1300.111
3211,492057.431,3968591.496,1300.056
3212,492054.651,3968592.287,1300.011
3213,492182.024,3968554.262,1301.869
3213,492052.438,3968592.727,1299.926
3214,492049.644,3968593.669,1299.858
3214,492179.254,3968554.612,1301.885
3215,492176.647,3968555.123,1301.879
3215,492047.623,3968594.356,1299.776
3216,492045.564,3968594.987,1299.731
3216,492173.976,3968555.578,1301.778
3217,492171.579,3968556.22,1301.776
3217,492043.513,3968595.703,1299.665
3218,492168.88,3968556.818,1301.691
3218,492041.281,3968596.6,1299.655
3219,492165.994,3968557.361,1301.631
3219,492039.124,3968597.255,1299.583
3220,492163.033,3968558.005,1301.566
3220,492036.78,3968597.939,1299.557
3221,492161.009,3968558.457,1301.551
3221,492034.635,3968598.853,1299.603
3222,492032.254,3968599.621,1299.6
3222,492158.131,3968559.066,1301.54
3223,492029.991,3968600.37,1299.63
3223,492156.159,3968559.533,1301.506
3224,492153.838,3968560.089,1301.486
3224,492027.819,3968601,1299.644
3225,492151.73,3968560.487,1301.477
3225,492025.515,3968601.679,1299.653
3226,492149.648,3968560.955,1301.427
3226,492023.402,3968602.326,1299.634
3227,492147.447,3968561.351,1301.328
3227,492021.369,3968603.341,1299.631
3228,492145.298,3968561.823,1301.284
3228,492019.488,3968604.237,1299.636
3229,492016.772,3968605.099,1299.589
3229,492143.215,3968562.227,1301.186
3230,492015.191,3968603.258,1299.522
3230,492141.126,3968562.612,1301.128
3231,492014.39,3968601.247,1299.36
3231,492138.426,3968562.94,1301.023
3232,492013.752,3968599.266,1299.308
3232,492135.744,3968563.418,1300.896
3233,492013.66,3968597.224,1299.196
3233,492133.074,3968563.944,1300.782
3234,492015.87,3968595.76,1299.217
3234,492130.179,3968564.642,1300.63
3235,492128.122,3968565.198,1300.56
3235,492017.667,3968594.663,1299.165
3236,492019.548,3968593.628,1299.184
3236,492125.343,3968566.05,1300.433
3237,492021.673,3968592.681,1299.165
3237,492123.251,3968566.403,1300.401
3238,492120.351,3968567.107,1300.392
3238,492023.869,3968591.876,1299.187
3239,492118.141,3968567.61,1300.373
3239,492026.003,3968591.199,1299.203
3240,492115.203,3968568.325,1300.323
3240,492028.468,3968590.323,1299.174
3241,492031.105,3968589.443,1299.182
3241,492112.881,3968569.007,1300.276
3242,492033.386,3968588.653,1299.236
3242,492110.231,3968569.845,1300.355
3243,492035.931,3968587.955,1299.228
3243,492107.563,3968570.507,1300.3
3244,492039.472,3968586.597,1299.319
3244,492105.577,3968571.026,1300.349
3245,492041.805,3968585.764,1299.366
3245,492103.426,3968571.594,1300.286
3246,492044.164,3968584.807,1299.383
3246,492100.683,3968572.287,1300.324
3247,492046.868,3968583.739,1299.422
3247,492098.59,3968572.842,1300.338
3248,492096.444,3968573.503,1300.379
